Ref Frequency,Temp,
21699932.6,-19.25,0.165
21699932.66,-19.75,0.167
21699932.62,-19.5,0.166
21699932.85,-20,0.176
21699932.87,-20.25,0.177
21699932.91,-20.25,0.179
21699932.97,-20.5,0.182
21699932.95,-20.5,0.181
21699932.93,-20.75,0.18
21699933.06,-21,0.186
21699933.15,-21,0.19
21699933.2,-21.25,0.192
21699933.28,-21.25,0.196
21699933.33,-21.5,0.198
21699933.37,-21.5,0.2
21699933.35,-21.5,0.199
21699933.49,-21.75,0.206
21699933.42,-21.75,0.202
21699933.45,-21.75,0.204
21699933.52,-21.75,0.207
21699933.51,-22,0.207
21699933.43,-22,0.203
21699933.48,-22,0.205
21699933.48,-22,0.205
21699933.54,-22.25,0.208
21699933.58,-22.5,0.21
21699933.61,-22.25,0.211
21699933.66,-22.5,0.213
21699933.7,-22.75,0.215
21699933.8,-22.5,0.22
21699933.75,-22.75,0.218
21699933.72,-22.75,0.216
21699933.79,-23,0.219
21699933.81,-26.75,0.22
21699933.84,-23,0.222
21699933.87,-23,0.223
21699933.89,-23,0.224
21699933.85,-23,0.222
21699933.87,-23,0.223
21699933.93,-23.25,0.226
21699933.91,-23,0.225
21699933.96,-23.25,0.227
21699933.96,-23.25,0.227
21699933.98,-23.5,0.228
21699933.97,-23.5,0.228
21699934.03,-23.5,0.23
21699933.97,-23.25,0.228
21699934.07,-23.5,0.232
21699934.05,-23.75,0.232
21699934.06,-23.75,0.232
21699934.05,-23.75,0.231
21699934.12,-23.75,0.234
21699934.11,-23.75,0.234
21699934.07,-23.75,0.232
21699934.07,-24,0.233
21699933.99,-23.75,0.229
21699934.15,-24,0.236
21699934.06,-23.75,0.232
21699934.15,-24,0.236
21699934.13,-24,0.235
21699934.15,-24,0.236
21699934.11,-24,0.234
21699934.16,-24.25,0.236
21699934.11,-24.25,0.234
21699934.1,-24,0.234
21699934.12,-24.25,0.235
21699934.14,-24.25,0.236
21699934.13,-24,0.235
21699934.13,-24.25,0.235
21699934.14,-24.25,0.235
21699934.1,-24.25,0.234
21699934.18,-24.5,0.237
