Ref Frequency,Temp,
21699941.9,43.5,-0.203
21699941.69,42.75,-0.213
21699941.52,42,-0.221
21699941.41,41,-0.226
21699941.25,40,-0.234
21699941.13,39.5,-0.239
21699940.98,38.5,-0.246
21699940.9,37.5,-0.25
21699940.77,36.75,-0.256
21699940.66,35.75,-0.261
21699940.44,35,-0.271
21699940.22,34,-0.281
21699940.11,33,-0.286
21699940.12,32.25,-0.286
21699940.07,31.25,-0.288
21699940.16,30.5,-0.284
21699940.22,29.5,-0.281
21699940.21,28.75,-0.281
21699940.29,27.75,-0.278
21699940.38,26.75,-0.274
21699940.45,26,-0.271
21699940.61,25.25,-0.263
21699940.76,24.25,-0.256
21699940.8,23.5,-0.255
21699940.79,22.5,-0.255
21699940.86,21.5,-0.252
21699940.93,20.75,-0.248
21699940.95,20,-0.247
21699940.82,19,-0.254
21699940.81,18.25,-0.254
21699940.89,17.5,-0.25
21699940.82,16.5,-0.253
21699940.82,15.5,-0.253
21699941,14.5,-0.245
21699940.97,13.75,-0.246
21699940.96,12.75,-0.247
21699941.03,12,-0.244
21699941.01,11.25,-0.245
21699941.17,10.25,-0.237
21699941.26,9.25,-0.233
21699941.46,8.25,-0.224
21699941.54,7.75,-0.22
21699941.55,6.75,-0.22
21699941.73,5.75,-0.212
21699941.9,4.75,-0.204
21699942.1,4,-0.195
21699942.15,3.25,-0.192
21699942.25,2,-0.188
21699942.3,1.25,-0.185
21699942.39,0.25,-0.181
21699942.48,-0.25,-0.177
21699942.42,-1.5,-0.18
21699942.42,-2.25,-0.18
21699942.42,-3.25,-0.18
21699942.23,-3.75,-0.188
21699942.14,-4.75,-0.193
21699942.15,-5.5,-0.192
21699941.97,-6.25,-0.201
21699941.89,-7,-0.204
21699941.77,-7.5,-0.21
21699941.7,-8.5,-0.213
21699941.4,-8.75,-0.227
21699941.33,-9.5,-0.23
21699941.3,-10,-0.232
21699941.21,-10.75,-0.236
21699941.18,-11.25,-0.237
21699941.11,-11.75,-0.24
21699940.95,-12.5,-0.247
21699940.96,-12.75,-0.247
21699940.95,-13.25,-0.248
21699940.9,-13.75,-0.25
21699940.87,-14.25,-0.251
21699940.86,-14.5,-0.251
21699940.79,-15,-0.255
21699940.74,-15.25,-0.257
21699940.71,-15.75,-0.258
21699940.7,-16,-0.259
21699940.69,-16.25,-0.26
21699940.68,-16.5,-0.26
21699940.64,-16.75,-0.262
21699940.6,-17,-0.264
21699940.63,-17.5,-0.262
21699940.61,-17.75,-0.263
21699940.62,-18,-0.263
21699940.57,-18.25,-0.265
21699940.6,-18.5,-0.264
21699940.58,-18.75,-0.264
21699940.38,-19,-0.274
21699940.45,-19,-0.271
21699940.44,-19.25,-0.271
